title,release_date,overview,vote_average,vote_count,poster_path
The Crow,2024-08-21,"Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.",5.406,441,/58QT4cPJ2u2TqWZkterDq9q4yxQ.jpg
Despicable Me 4,2024-06-20,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",7.161,1787,/wWba3TaojhK7NdycRhoQpsG0FaH.jpg
It Ends with Us,2024-08-07,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended, and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",6.883,576,/cSMdFWmajaX4oUMLx7HEDI84GkP.jpg
Blink Twice,2024-08-21,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. But despite the epic setting, beautiful people, ever-flowing champagne, and late-night dance parties, Frida can sense that there’s something sinister hiding beneath the island’s lush façade.",6.659,466,/lZGOK0I2DJSRlEPNOAFTSNxSjDD.jpg
Hijack 1971,2024-06-21,"Pilots Tae-in and Gyu-sik are set to fly to Gimpo. Under the guidance of flight attendant Ok-soon, passengers are busy boarding. However, shortly after takeoff, a homemade bomb explodes, turning the cabin into chaos.",6.4,34,/1ahGkWMv8Cehlf3hwCSlwJdXaej.jpg
The Substance,2024-09-07,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",7.2,167,/lqoMzCcZYEFK729d6qzt349fB4o.jpg
Hounds of War,2024-08-29,"After a mission goes wrong, only one of a group of mercenaries is left alive to avenge his fallen brothers.",6.446,56,/lRBT73EWsiQPuqK3YS3BnBW0Zwi.jpg
Beetlejuice Beetlejuice,2024-09-04,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",7.2,743,/kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg
Borderlands,2024-08-07,"Returning to her home planet, an infamous bounty hunter forms an unexpected alliance with a team of unlikely heroes. Together, they battle monsters and dangerous bandits to protect a young girl who holds the key to unimaginable power.",5.895,619,/865DntZzOdX6rLMd405R0nFkLmL.jpg
The Wild Robot,2024-09-12,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",7.6,64,/hn4fOpFlbak5ruxkdrmdijs38Yl.jpg
Afraid,2024-08-28,Curtis Pike and his family are selected to test a new home device: a digital assistant called AIA. AIA observes the family's behaviors and begins to anticipate their needs. And she can – and will – make sure nothing – and no one – gets in her family's way.,6.392,144,/gUREuXCnJLVHsvKXDH9fgIcfM6e.jpg
Officer Black Belt,2024-09-10,A talented martial artist who can't walk past a person in need unites with a probation officer to fight and prevent crime as a martial arts officer.,7.914,145,/rEaJSXAlNfdhRpDHiNcJsoUa9qE.jpg
Outlaw,2024-06-20,"At the age of nine, Rebeca is sold by her grandmother to the bookseller who ran Rocinha. Disputed by bicheiros and drug dealers, the community is going through changes in power. Rebeca becomes the wife of the chief drug dealer and, with the death of her partner, his successor. The electrifying trajectory of crime, violence, drugs and love of a female drug kingpin in Rocinha, Rio de Janeiro in the 1980s.",6.309,47,/rGS8SzheANVQicNba0GCE6w1XHb.jpg
Transformers One,2024-09-11,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",7.221,86,/qbkAqmmEIZfrCO8ZQAuIuVMlWoV.jpg
Subservience,2024-08-15,"With his wife out sick, a struggling father brings home a lifelike AI, only to have his self-aware new help want everything her new family has to offer... Like the affection of her owner and she'll kill to get it.",6.441,136,/gBenxR01Uy0Ev9RTIw6dVBPoyQU.jpg
Alien: Romulus,2024-08-13,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",7.1,1095,/b33nnKl1GSFbao4l3fZDDqsMx0F.jpg
Rebel Ridge,2024-08-27,A former Marine confronts corruption in a small town when local law enforcement unjustly seizes the bag of cash he needs to post his cousin's bail.,7.014,740,/xEt2GSz9z5rSVpIHMiGdtf0czyf.jpg
Kill,2024-07-03,"When an army commando finds out his true love is engaged against her will, he boards a New Dehli-bound train in a daring quest to derail the arranged marriage. But when a gang of knife-wielding thieves begin to terrorize innocent passengers on his train, the commando takes them on himself in a death-defying kill-spree to save those around him — turning what should have been a typical commute into an adrenaline-fueled thrill ride.",7.146,192,/m2zXTuNPkywdYLyWlVyJZW2QOJH.jpg
Cuckoo,2024-08-02,"After reluctantly moving to the German Alps with her father and his new family, Gretchen discovers that their new town hides sinister secrets, as she's plagued by strange noises and frightening visions of a woman pursuing her.",5.621,103,/mpryn3TuSPNG5ELRxyrKfblxJ9R.jpg
Kung Fu Games,2024-08-23,"Notorious fighters are trapped in lethal martial arts games by a sadistic magnate. Armed only with their combat skills, they face brutal battles for survival in a deadly kill-or-be-killed showdown.",6.25,16,/yjDdBBUEBMvyUiVohZ8T7W2IFl6.jpg
